Name of the Bacteria ,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
ENTEROCOCCUS SP.,AMOXICILLIN CLAVULANIC ACID,>=8, 4-7,<=2
ENTEROCOCCUS SP.,AMPICILLIN,>=8, 4-7,<=2
ENTEROCOCCUS SP.,AMPICILLIN/SULBACTAM,>=8, 4-7,<=2
ENTEROCOCCUS SP.,CIPROFLOXACIN,>=4, 2-3,<=1
ENTEROCOCCUS SP.,GENTAMICIN (High Dose),>=500, NA,<=500
ENTEROCOCCUS SP.,LEVOFLOXACIN,>=4, 2-3,<=1
ENTEROCOCCUS SP.,LINEZOLID,>=8, NA,<=4
ENTEROCOCCUS SP.,NITROFURANTOIN,>=64,32-63,<=31
ENTEROCOCCUS SP.,NORFLOXACIN,>=4, 2-3,<=1
ENTEROCOCCUS SP.,OFLOXACIN,>=4, 2-3,<=1
ENTEROCOCCUS SP.,PENICILLIN,>=8, 4-7,<=2
ENTEROCOCCUS SP.,PIPERACILLIN,>=16, 8-15,<=4
ENTEROCOCCUS SP.,PIPERACILLIN/TAZO,>=16, 8-15,<=4
ENTEROCOCCUS SP.,TETRACYCLINE,>=8, 4-7,<=2
ENTEROCOCCUS SP.,TICARCILLIN,>=16, 8-15,<=4
ENTEROCOCCUS SP.,TRIMETHOPRIM/SULFA,>=4, 2-3,<=1
ENTEROCOCCUS SP.,VANCOMYCIN,>=4, 2-3,<=1
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=8, 4-7,<=2
ESCHERICHIA COLI,AMPICILLIN,>=8, 4-7,<=2
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,>=8, 4-7,<=2
ESCHERICHIA COLI,CEFAZOLIN,>=16, 8-15,<=7
ESCHERICHIA COLI,CEFEPIME,>=8, 4-7,<=3
ESCHERICHIA COLI,CEFIXIME,>=4, 2-3,<=1
ESCHERICHIA COLI,CEFOXITIN,>=8, 4-7,<=3
ESCHERICHIA COLI,CEFTAZIDIME,>=8, 4-7,<=3
ESCHERICHIA COLI,CEFTRIAXONE,>=8, 4-7,<=3
ESCHERICHIA COLI,CIPROFLOXACIN,>=1,0.5,<=0.25
ESCHERICHIA COLI,ERTAPENEM,>=0.5,0.25,<=0.12
ESCHERICHIA COLI,GENTAMICIN,>=4, 2-3,<=1
ESCHERICHIA COLI,IMIPENEM,>=1, 0.5-0.25,<=0.12
ESCHERICHIA COLI,LEVOFLOXACIN,>=2,1,<=0.5
ESCHERICHIA COLI,MEROPENEM,>=1, 0.5-0.25,<=0.12
ESCHERICHIA COLI,NITROFURANTOIN,>=128, 64-127,<=63
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=16, 8-15,<=7
ESCHERICHIA COLI,TETRACYCLINE,>=8, 4-7,<=2
ESCHERICHIA COLI,TOBRAMYCIN,>=4, 2-3,<=1
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=4, 2-3,<=1
KLEBSIELLA OXYTOCA ,AMOXICILLIN CLAVULANIC ACID,>=8, 4-7,<=2
KLEBSIELLA OXYTOCA ,CEFAZOLIN,>=16, 8-15,<=7
KLEBSIELLA OXYTOCA ,CEFEPIME,>=8, 4-7,<=3
KLEBSIELLA OXYTOCA ,CEFTAZIDIME,>=8, 4-7,<=3
KLEBSIELLA OXYTOCA ,CEFTRIAXONE,>=8, 4-7,<=3
KLEBSIELLA OXYTOCA ,CIPROFLOXACIN,>=1,0.5,<=0.25
KLEBSIELLA OXYTOCA ,ERTAPENEM,>=0.5,0.25,<=0.12
KLEBSIELLA OXYTOCA ,GENTAMICIN,>=4, 2-3,<=1
KLEBSIELLA OXYTOCA ,IMIPENEM,>=1, 0.5-0.25,<=0.12
KLEBSIELLA OXYTOCA ,LEVOFLOXACIN,>=2,1,<=0.5
KLEBSIELLA OXYTOCA ,MEROPENEM,>=1, 0.5-0.25,<=0.12
KLEBSIELLA OXYTOCA ,PIPERACILLIN/TAZO,>=16, 8-15,<=7
KLEBSIELLA OXYTOCA ,TETRACYCLINE,>=8, 4-7,<=2
KLEBSIELLA OXYTOCA ,TOBRAMYCIN,>=4, 2-3,<=1
KLEBSIELLA OXYTOCA ,TRIMETHOPRIM/SULFA,>=4, 2-3,<=1
KLEBSIELLA PNEUMONIAE,AMOXICILLIN CLAVULANIC ACID,>=8, 4-7,<=2
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,>=16, 8-15,<=7
KLEBSIELLA PNEUMONIAE,CEFEPIME,>=8, 4-7,<=3
KLEBSIELLA PNEUMONIAE,CEFIXIME,>=8, 4-7,<=3
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,>=8, 4-7,<=3
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,>=8, 4-7,<=3
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,>=1,0.5,<=0.25
KLEBSIELLA PNEUMONIAE,ERTAPENEM,>=0.5,0.25,<=0.12
KLEBSIELLA PNEUMONIAE,GENTAMICIN,>=4, 2-3,<=1
KLEBSIELLA PNEUMONIAE,IMIPENEM,>=1, 0.5-0.25,<=0.12
KLEBSIELLA PNEUMONIAE,LEVOFLOXACIN,>=2,1,<=0.5
KLEBSIELLA PNEUMONIAE,MEROPENEM,>=1, 0.5-0.25,<=0.12
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,>=16, 8-15,<=7
KLEBSIELLA PNEUMONIAE,TETRACYCLINE,>=8, 4-7,<=2
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,>=4, 2-3,<=1
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,>=4, 2-3,<=1
PROTEUS MIRABILIS,AMOXICILLIN CLAVULANIC ACID,>=8, 4-7,<=2
PROTEUS MIRABILIS,CEFAZOLIN,>=16, 8-15,<=7
PROTEUS MIRABILIS,CEFEPIME,>=8, 4-7,<=3
PROTEUS MIRABILIS,CEFIXIME,>=8, 4-7,<=3
PROTEUS MIRABILIS,CEFTAZIDIME,>=8, 4-7,<=3
PROTEUS MIRABILIS,CEFTRIAXONE,>=8, 4-7,<=3
PROTEUS MIRABILIS,CIPROFLOXACIN,>=1,0.5,<=0.25
PROTEUS MIRABILIS,ERTAPENEM,>=0.5,0.25,<=0.12
PROTEUS MIRABILIS,GENTAMICIN,>=4, 2-3,<=1
PROTEUS MIRABILIS,IMIPENEM,>=1, 0.5-0.25,<=0.12
PROTEUS MIRABILIS,LEVOFLOXACIN,>=2,1,<=0.5
PROTEUS MIRABILIS,MEROPENEM,>=1, 0.5-0.25,<=0.12
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,>=16, 8-15,<=7
PROTEUS MIRABILIS,TOBRAMYCIN,>=4, 2-3,<=1
PROVIDENCIA RETTGERI,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
PROVIDENCIA RETTGERI,AMPICILLIN,>=8,>=16,<=32
PROVIDENCIA RETTGERI,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
PROVIDENCIA RETTGERI,CEFEPIME,>=8,>=16,<=32
PROVIDENCIA RETTGERI,CEFOXITIN,>=8,>=16,<=32
PROVIDENCIA RETTGERI,CEFTAZIDIME,>=8,>=16,<=32
PROVIDENCIA RETTGERI,CEFTRIAXONE,>=8,>=16,<=32
PROVIDENCIA RETTGERI,CIPROFLOXACIN,>=1,>=2,<=4
PROVIDENCIA RETTGERI,ERAPENEM,>=8,>=16,<=32
PROVIDENCIA RETTGERI,GENTAMICIN,>=4,>=8,<=16
PROVIDENCIA RETTGERI,IMIPENEM,>=4,>=8,<=16
PROVIDENCIA RETTGERI,MEROPENEM,>=8,>=16,<=32
PROVIDENCIA RETTGERI,NITROFURANTOIN,>=32,>=64,<=128
PROVIDENCIA RETTGERI,NORFLOXACIN,>=4,>=8,<=16
PROVIDENCIA RETTGERI,OFLOXACIN,>=2,>=4,<=8
PROVIDENCIA RETTGERI,PIPERACILLIN/TAZO,>=8,>=16,<=32
PROVIDENCIA RETTGERI,TETRACYCLINE,>=4,>=8,<=16
PROVIDENCIA RETTGERI,TOBRAMYCIN,>=4,>=8,<=16
PROVIDENCIA STUARTII,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
PROVIDENCIA STUARTII,AMPICILLIN,>=8,>=16,<=32
PROVIDENCIA STUARTII,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
PROVIDENCIA STUARTII,CEFEPIME,>=8,>=16,<=32
PROVIDENCIA STUARTII,CEFOXITIN,>=8,>=16,<=32
PROVIDENCIA STUARTII,CEFTAZIDIME,>=8,>=16,<=32
PROVIDENCIA STUARTII,CEFTRIAXONE,>=8,>=16,<=32
PROVIDENCIA STUARTII,CIPROFLOXACIN,>=1,>=2,<=4
PROVIDENCIA STUARTII,ERAPENEM,>=8,>=16,<=32
PROVIDENCIA STUARTII,GENTAMICIN,>=4,>=8,<=16
PROVIDENCIA STUARTII,IMIPENEM,>=4,>=8,<=16
PROVIDENCIA STUARTII,MEROPENEM,>=8,>=16,<=32
PROVIDENCIA STUARTII,NITROFURANTOIN,>=32,>=64,<=128
PROVIDENCIA STUARTII,NORFLOXACIN,>=4,>=8,<=16
PROVIDENCIA STUARTII,OFLOXACIN,>=2,>=4,<=8
PROVIDENCIA STUARTII,PIPERACILLIN/TAZO,>=8,>=16,<=32
PROVIDENCIA STUARTII,TETRACYCLINE,>=4,>=8,<=16
PROVIDENCIA STUARTII,TOBRAMYCIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,AMPICILLIN,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFEPIME,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFOXITIN,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFTAZIDIME,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CEFTRIAXONE,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,CIPROFLOXACIN,>=1,>=2,<=4
PSEUDOMONAS AERUGINOSA,ERAPENEM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,GENTAMICIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,IMIPENEM,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,MEROPENEM,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,NITROFURANTOIN,>=32,>=64,<=128
PSEUDOMONAS AERUGINOSA,NORFLOXACIN,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,OFLOXACIN,>=2,>=4,<=8
PSEUDOMONAS AERUGINOSA,PIPERACILLIN/TAZO,>=8,>=16,<=32
PSEUDOMONAS AERUGINOSA,TETRACYCLINE,>=4,>=8,<=16
PSEUDOMONAS AERUGINOSA,TOBRAMYCIN,>=4,>=8,<=16
SERRATIA MARCESCENS,AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
SERRATIA MARCESCENS,AMPICILLIN,>=8,>=16,<=32
SERRATIA MARCESCENS,AMPICILLIN/SULBACTAM,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFEPIME,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFOXITIN,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFTAZIDIME,>=8,>=16,<=32
SERRATIA MARCESCENS,CEFTRIAXONE,>=8,>=16,<=32
SERRATIA MARCESCENS,CIPROFLOXACIN,>=1,>=2,<=4
SERRATIA MARCESCENS,ERAPENEM,>=8,>=16,<=32
SERRATIA MARCESCENS,GENTAMICIN,>=4,>=8,<=16
SERRATIA MARCESCENS,IMIPENEM,>=4,>=8,<=16
SERRATIA MARCESCENS,MEROPENEM,>=8,>=16,<=32
SERRATIA MARCESCENS,NITROFURANTOIN,>=32,>=64,<=128
SERRATIA MARCESCENS,NORFLOXACIN,>=4,>=8,<=16
SERRATIA MARCESCENS,OFLOXACIN,>=2,>=4,<=8
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,>=8,>=16,<=32
SERRATIA MARCESCENS,TETRACYCLINE,>=4,>=8,<=16
SERRATIA MARCESCENS,TOBRAMYCIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMOXICILLIN CLAVULANIC ACID,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),AMPICILLIN/SULBACTAM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFEPIME,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFOXITIN,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTAZIDIME,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CEFTRIAXONE,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),CIPROFLOXACIN,>=1,>=2,<=4
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),ERAPENEM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),GENTAMICIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),IMIPENEM,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),MEROPENEM,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NITROFURANTOIN,>=32,>=64,<=128
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NORFLOXACIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),OFLOXACIN,>=2,>=4,<=8
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),PIPERACILLIN/TAZO,>=8,>=16,<=32
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TETRACYCLINE,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TOBRAMYCIN,>=4,>=8,<=16
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),VANCOMYCIN,>=1,>=2,<=4
