Name of the Bacteria ,Antibiotic Prescribed,MIC Value,Interpretation
ESCHERICHIA COLI,CEFTAZIDIME,<=1,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,TOBRAMYCIN,<=1,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,<=4,S
ESCHERICHIA COLI,NITROFURANTOIN,<=16,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,<=4,S
ESCHERICHIA COLI,MEROPENEM,<=0.25,S
ESCHERICHIA COLI,CEFEPIME,<=1,S
ESCHERICHIA COLI,CEFTRIAXONE,<=1,S
ESCHERICHIA COLI,AMPICILLIN,=>32,R
ESCHERICHIA COLI,CEFUROXIME,4,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,=>32,R
ESCHERICHIA COLI,CEFAZOLIN,<=4,S
ESCHERICHIA COLI,CEFTAZIDIME,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,<=0.25,S
ESCHERICHIA COLI,TOBRAMYCIN,<=1,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,<=1,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,<=1,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,<=1,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,<=1,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,<=4,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,<=1,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,<=1,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,<=1,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,<=1,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,<=4,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,<=1,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,<=0.25,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,<=1,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,<=4,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,<=1,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,<=0.25,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,<=1,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,<=1,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,<=1,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,<=4,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,<=1,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,<=0.25,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,<=0.25,S
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),LEVOFLOXACIN,<=0.12,S
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),TRIMETHOPRIM/SULFA,<=0.5,S
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),NITROFURANTOIN,<=16,S
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),GENTAMICIN,<=0.5,S
STAPHYLOCOCCUS AUREUS (COAGULASE POSITIVE),OXACILLIN,<=0.25,S
ESCHERICHIA COLI,NITROFURANTOIN,<=16,S
ESCHERICHIA COLI,CEFAZOLIN,<=4,S
ESCHERICHIA COLI,MEROPENEM,<=0.25,S
ESCHERICHIA COLI,CEFEPIME,<=1,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,<=4,S
ESCHERICHIA COLI,CEFUROXIME,<=1,S
ESCHERICHIA COLI,AMPICILLIN,=>32,R
ESCHERICHIA COLI,CIPROFLOXACIN,<=0.25,S
ESCHERICHIA COLI,CEFTRIAXONE,<=1,S
ESCHERICHIA COLI,CEFTAZIDIME,<=1,S
ESCHERICHIA COLI,TOBRAMYCIN,<=1,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,<=1,S
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,<=0.5,S
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,<=20,S
PROTEUS MIRABILIS,AMPICILLIN,>=32,R
PROTEUS MIRABILIS,TICARCILLIN  ,>=128,R
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,<=4,S
PROTEUS MIRABILIS,CEFALOTIN,>=64,R
PROTEUS MIRABILIS,CEFIXIME,>=4,R
PROTEUS MIRABILIS,CEFTAZIDIME,>=64,R
PROTEUS MIRABILIS,CEFTRIAXONE,>=64,R
PROTEUS MIRABILIS,AMIKACIN,32,R
PROTEUS MIRABILIS,GENTAMICIN,>=16,R
PROTEUS MIRABILIS,CIPROFLOXACIN,>=4,R
PROTEUS MIRABILIS,NORFLOXACIN,>=16,R
PROTEUS MIRABILIS,OFLOXACIN,>=8,R
PROTEUS MIRABILIS,NITROFURANTOIN,128,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,>=320,R
PROTEUS MIRABILIS,AMPICILLIN,>=32,R
PROTEUS MIRABILIS,TICARCILLIN  ,>=128,R
PROTEUS MIRABILIS,PIPERACILLIN/TAZO,<=4,S
PROTEUS MIRABILIS,CEFALOTIN,>=64,R
PROTEUS MIRABILIS,CEFIXIME,>=4,R
PROTEUS MIRABILIS,CEFTAZIDIME,>=64,R
PROTEUS MIRABILIS,CEFTRIAXONE,8,R
PROTEUS MIRABILIS,ERTAPENEM,<0.5,S
PROTEUS MIRABILIS,AMIKACIN,16,R
PROTEUS MIRABILIS,GENTAMICIN,>=16,R
PROTEUS MIRABILIS,NALIDIXIC ACID,>=32,R
PROTEUS MIRABILIS,CIPROFLOXACIN,>=4,R
PROTEUS MIRABILIS,NORFLOXACIN,>=16,R
PROTEUS MIRABILIS,OFLOXACIN,>=8,R
PROTEUS MIRABILIS,NITROFURANTOIN,128,R
PROTEUS MIRABILIS,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32 ,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,8,S
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,32,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,16,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,<=0.5,S
ESCHERICHIA COLI,AMIKACIN,4,S
ESCHERICHIA COLI,GENTAMICIN,>=16,R
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,NITROFURANTOIN,<=16,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,8,S
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,<=0.5,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,NITROFURANTOIN,<=16,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
KLEBSIELLA PNEUMONIAE,AMOXICILLIN CLAVULANIC ACID,8,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,<=4,S
KLEBSIELLA PNEUMONIAE,CEFALOTIN,>=64,R
KLEBSIELLA PNEUMONIAE,CEFOXITIN,<=4,S
KLEBSIELLA PNEUMONIAE,CEFIXIME,>=4,R
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,16,R
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,>=64,R
KLEBSIELLA PNEUMONIAE,ERTAPENEM,<=0.5,S
KLEBSIELLA PNEUMONIAE,AMIKACIN,<=2,S
KLEBSIELLA PNEUMONIAE,GENTAMICIN,<=1,S
KLEBSIELLA PNEUMONIAE,NORFLOXACIN,2,S
KLEBSIELLA PNEUMONIAE,OFLOXACIN,2,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,<=20,S
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,2,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,>=64,R
ESCHERICHIA COLI,GENTAMICIN,>=16,R
ESCHERICHIA COLI,NALIDIXIC ACID,>=32,R
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,>=64,R
ESCHERICHIA COLI,GENTAMICIN,>=16,R
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,NITROFURANTOIN,128,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
ESCHERICHIA COLI,AMPICILLIN,>=32,R
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,>=32,R
ESCHERICHIA COLI,TICARCILLIN  ,>=128,R
ESCHERICHIA COLI,PIPERACILLIN/TAZO,>=128,R
ESCHERICHIA COLI,CEFALOTIN,>=64,R
ESCHERICHIA COLI,CEFOXITIN,>=64,R
ESCHERICHIA COLI,CEFIXIME,>=4,R
ESCHERICHIA COLI,CEFTAZIDIME,>=64,R
ESCHERICHIA COLI,CEFTRIAXONE,>=64,R
ESCHERICHIA COLI,ERTAPENEM,>=8,R
ESCHERICHIA COLI,AMIKACIN,<=2,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,>=4,R
ESCHERICHIA COLI,NORFLOXACIN,>=16,R
ESCHERICHIA COLI,OFLOXACIN,>=8,R
ESCHERICHIA COLI,NITROFURANTOIN,128,R
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,>=320,R
